LocusNum,LocusName,AlleleSize,AlleleNumber
1,Oki100,65,1
1,Oki100,69,2
1,Oki100,73,3
1,Oki100,77,4
1,Oki100,81,5
1,Oki100,85,6
1,Oki100,89,7
1,Oki100,93,8
1,Oki100,97,9
1,Oki100,101,10
1,Oki100,105,11
1,Oki100,109,12
1,Oki100,113,13
1,Oki100,117,14
1,Oki100,121,15
1,Oki100,125,16
1,Oki100,129,17
1,Oki100,133,18
1,Oki100,137,19
1,Oki100,142,20
1,Oki100,146,21
1,Oki100,150,22
1,Oki100,154,23
1,Oki100,158,24
1,Oki100,162,25
1,Oki100,166,26
1,Oki100,170,27
1,Oki100,174,28
1,Oki100,178,29
1,Oki100,182,30
1,Oki100,186,31
1,Oki100,198,32
2,Omm1070,177,1
2,Omm1070,181,2
2,Omm1070,185,3
2,Omm1070,189,4
2,Omm1070,193,5
2,Omm1070,197,6
2,Omm1070,201,7
2,Omm1070,204,8
2,Omm1070,208,9
2,Omm1070,212,10
2,Omm1070,216,11
2,Omm1070,220,12
2,Omm1070,224,13
2,Omm1070,228,14
2,Omm1070,232,15
2,Omm1070,236,16
2,Omm1070,240,17
2,Omm1070,244,18
2,Omm1070,248,19
2,Omm1070,252,20
2,Omm1070,256,21
2,Omm1070,260,22
2,Omm1070,264,23
2,Omm1070,268,24
2,Omm1070,272,25
2,Omm1070,276,26
2,Omm1070,280,27
2,Omm1070,284,28
2,Omm1070,288,29
2,Omm1070,292,30
2,Omm1070,296,31
2,Omm1070,300,32
2,Omm1070,304,33
2,Omm1070,308,34
2,Omm1070,312,35
2,Omm1070,316,36
2,Omm1070,320,37
2,Omm1070,324,38
2,Omm1070,328,39
2,Omm1070,333,40
2,Omm1070,337,41
2,Omm1070,341,42
2,Omm1070,345,43
2,Omm1070,349,44
2,Omm1070,353,45
2,Omm1070,357,46
2,Omm1070,361,47
2,Omm1070,365,48
2,Omm1070,368,49
2,Omm1070,372,50
2,Omm1070,376,51
2,Omm1070,380,52
2,Omm1070,385,53
2,Omm1070,389,54
2,Omm1070,393,55
2,Omm1070,397,56
2,Omm1070,401,57
2,Omm1070,405,58
2,Omm1070,409,59
2,Omm1070,413,60
2,Omm1070,417,61
2,Omm1070,421,62
2,Omm1070,425,63
2,Omm1070,429,64
2,Omm1070,433,65
2,Omm1070,437,66
2,Omm1070,441,67
2,Omm1070,445,68
2,Omm1070,449,69
2,Omm1070,453,70
3,Omy1011,159,1
3,Omy1011,164,2
3,Omy1011,168,3
3,Omy1011,172,4
3,Omy1011,176,5
3,Omy1011,180,6
3,Omy1011,184,7
3,Omy1011,188,8
3,Omy1011,192,9
3,Omy1011,196,10
3,Omy1011,199,11
3,Omy1011,203,12
3,Omy1011,207,13
3,Omy1011,211,14
3,Omy1011,214,15
3,Omy1011,218,16
3,Omy1011,222,17
3,Omy1011,226,18
3,Omy1011,230,19
3,Omy1011,233,20
3,Omy1011,237,21
3,Omy1011,241,22
3,Omy1011,245,23
3,Omy1011,249,24
3,Omy1011,253,25
3,Omy1011,257,26
3,Omy1011,261,27
3,Omy1011,265,28
3,Omy1011,269,29
3,Omy1011,273,30
3,Omy1011,277,31
3,Omy1011,281,32
3,Omy1011,285,33
3,Omy1011,289,34
3,Omy1011,293,35
3,Omy1011,296,36
3,Omy1011,300,37
3,Omy1011,304,38
3,Omy1011,308,39
3,Omy1011,313,40
3,Omy1011,317,41
3,Omy1011,321,42
3,Omy1011,325,43
3,Omy1011,329,44
3,Omy1011,333,45
3,Omy1011,337,46
4,One101,105,1
4,One101,109,2
4,One101,113,3
4,One101,117,4
4,One101,121,5
4,One101,125,6
4,One101,129,7
4,One101,133,8
4,One101,137,9
4,One101,141,10
4,One101,146,11
4,One101,150,12
4,One101,154,13
4,One101,158,14
4,One101,162,15
4,One101,166,16
4,One101,170,17
4,One101,174,18
4,One101,178,19
4,One101,183,20
4,One101,187,21
4,One101,191,22
4,One101,195,23
4,One101,199,24
4,One101,203,25
4,One101,207,26
4,One101,211,27
4,One101,215,28
4,One101,219,29
4,One101,223,30
4,One101,227,31
4,One101,231,32
4,One101,235,33
4,One101,239,34
4,One101,243,35
4,One101,247,36
4,One101,251,37
4,One101,255,38
4,One101,259,39
4,One101,263,40
4,One101,268,41
4,One101,272,42
4,One101,276,43
4,One101,280,44
4,One101,284,45
4,One101,288,46
4,One101,292,47
4,One101,296,48
4,One101,299,49
4,One101,303,50
4,One101,307,51
4,One101,311,52
4,One101,315,53
4,One101,319,54
4,One101,323,55
4,One101,327,56
4,One101,331,57
4,One101,335,58
4,One101,339,59
4,One101,343,60
4,One101,347,61
4,One101,368,62
5,One102,121,1
5,One102,125,2
5,One102,129,3
5,One102,133,4
